supabase_id,name,city,state,address,website,phone,lat,lng,google_place_id,google_rating,google_review_count,provider_type,is_claimed,tier,source,legitimacy,legitimacy_score,legitimacy_source
,Barba Skin Clinic,Miami,FL,,https://www.barbaskinclinic.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,CG Cosmetic Surgery,Miami,FL,,https://cgcosmetic.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"David Robles, MD, PhD Oak Tree Dermatology",Pomona,CA,,https://oaktreedermatology.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Vail-Summit Orthopaedics & Neurosurgery,Vail,CO,,http://www.vsortho.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Germantown Oral & Facial Surgery Center,Germantown,MD,,http://www.germantownoralsurgery.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,NuWave Medical,,,,https://nuwaveny.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Palmetto Family and Cosmetic Dentistry,,,,http://www.palmettofamilydentistry.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-15,scraped_website
,Affiliated Dermatologists,,,,https://affiliatedderm.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Facials & Skincare by Debbie,Orange,CA,,https://facialsbydebbie.com,,33.640302,-117.769442,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,HBOT Now,,,,http://www.hbotnow.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Crystal Lake, IL",,,,https://forefrontdermatology.com/location/crystal-lake-il-60014/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Rockhouse Dentistry,,,,https://www.rockhousedentistry.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-10,scraped_website
,Trahan ENT and Aesthetics,,,,http://www.trahanent.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Aesthetic Plastic Surgery North Shore,,,,http://www.plasticsurgerynorth.com/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Light Lounge,,,,https://lightlounge.life/holland,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Light Lounge St Charles MO,,,,https://lightlounge.life/st-charles,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Media Family Dentistry,,,,http://www.MediaFamilyDentistry.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Shih-yu Chou, Arnp",Bellevue,NE,,https://www.medicalartsps.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Lucia Lash/Brow,Stamford,CT,,http://www.lucialashandbrow.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Lotus Healthcare and Aesthetics,,,,http://lotustotalcare.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Oral & MaxilloFacial Surgery,,,,https://www.kytnoralsurgery.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Studio 21 Salon and Spa,,,,http://www.studio21spa.com,,,,,,,Beauty & Spas,False,free,yelp,not_spa,-10,scraped_website
,Liquid Gold IV Bar,,,,http://www.liquidgoldivbar.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,R&N Wellness Lounge,Bangor,ME,,https://rnwellnesslounge.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Advanced Skincare Northborough,,,,http://northboroughskincare.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,"Ryan E Dodde II, MD - Plastic Surgery Arts",,,,http://www.drdodde.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Angela M Schuck, DDS",,,,http://www.mankatodentist.com/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,SQIN MED,,,,https://sqinmed.ca,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Summit Natural Wellness Spa,Akron,OH,,http://snwcenter.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Valley Integrated Urgent Care & Wellness,,,,http://valleyucare.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Bellissimo Salon & Spa,,,,http://www.bellissimofriendswood.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-10,scraped_website
,Midessa Oral & Facial Surgery,Odessa,TX,,https://www.midessaofs.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Oshkosh, WI",,,,https://forefrontdermatology.com/location/oshkosh-wi-54904/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Legendary Family Healthcare,,,,http://Www.legendarytotalwellness.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Nu'Visionz Beauty & Wellness Lounge,Hayward,CA,,http://www.nvbeautylounge.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Aesthetic Eye Care,,,,http://www.aestheticeyeslo.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Sinkor Beauty Salon,Middletown,NJ,,http://sinkorsalon.com,,,,,,,Beauty & Spas,False,free,yelp,not_spa,-20,scraped_website
,"ReGenesis Plastic Surgery, Dermatology & Spa - Montrose",,,,http://regenesisplasticsurgery.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,MidState Skin Institute- Jasmine,Ocala,FL,,http://midstateskin.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,AH Laser Aesthetics,,,,http://www.ahlaseraesthetics.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Heartland Dermatology - Dodge City,,,,https://heartland-derm.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Current Dermatology and Cosmetic Center,Annapolis,MD,,https://www.currentderm.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Valentina Day Spa,,,,http://valentinadayspa.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,"Forefront Dermatology Wentzville, MO",,,,https://forefrontdermatology.com/location/wentzville-mo-63385/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,LifeRx.md,Cherry Hill,NJ,,https://liferx.md,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,NJ ENT and Facial Plastic Surgery,,,,https://njent.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Kurt R Kwiatkowski, D.D.S. S.C",,,,http://thefutureofdentistry.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,facial collective,Madison,WI,,https://facialcollective.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Colorado Beauty RN,Castle Rock,CO,,https://coloradobeautyrn.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Fry Luther L MD,Garden City,NY,,http://www.fryeye.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,The Covery Wellness - Woburn,,,,https://www.thecovery.com/locations/woburn-ma,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,GymFIT Physical Therapy & Wellness,,,,http://www.gymfitpt.com,,,,,,,Health & Medical,False,free,yelp,not_spa,-10,scraped_website
,Saadat Beauty House,Wellesley,MA,,https://saadatbeautyhouse.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Anne Arundel Dermatology - Greenbelt,,,,https://aadermatology.com/locations/anne-arundel-greenbelt/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,YMK Aesthetics,Morristown,NJ,,http://www.ymkaesthetics.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Alternative Wellness Center,Albuquerque,NM,,http://www.alternativewellnesscenter.org,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Michelle Powell Skin Care,,,,http://www.michellepowellskincare.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
,Belleza Colombiana,,,,https://bellezacolombianaspa.com,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,"Valerie Vick, MD",Mobile,AL,,http://www.valerievick.com/,,,,,,,Health & Medical,False,free,yelp,error_page,-100,scraped_website
,Supreme Beauty Life,Irvine,CA,,https://www.supremebeautylife.com,,,,,,,Beauty & Spas,False,free,yelp,error_page,-100,scraped_website
